Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
3588.5;19603.00;250.3;346.9;98.9;248.00;346.9;98.8;62.00;38.5;104.88;39.00;326.31;74.00;21947.00;340.13;2690.92;119.1;25600.00;30.00;40.39;49.4;null;95.5;94.25;null;792.00;null;0.68;null;180.00
3588.5;44876.00;232.00;330.5;94.5;232.00;330.5;93.1;66.00;42.9;104.5;43.3;415.32;88.7;29281.00;429.84;3706.49;138.7;32933.00;30.00;40.39;49.4;null;90.3;89.12;null;792.00;null;0.68;null;169.00
3588.5;25903.00;214.2;314.2;96.9;215.00;314.2;97.00;68.00;47.9;104.00;47.8;489.67;98.6;25659.00;506.46;4437.44;159.2;32964.00;30.00;40.39;49.4;null;92.00;90.8;null;792.00;null;0.68;null;160.00
3588.5;14.29;193.00;297.5;98.2;193.00;297.5;98.3;68.00;51.00;103.4;51.2;554.81;109.1;25689.00;571.84;5035.74;170.4;29342.00;30.00;40.39;49.4;null;93.2;91.98;null;792.00;null;0.68;null;156.00
3588.5;25903.00;206.00;306.9;97.2;206.00;306.8;97.6;67.00;null;103.76;48.2;490.36;94.7;18354.00;505.13;4386.75;149.6;22007.00;30.00;40.39;49.4;null;92.5;91.29;null;792.00;null;0.68;null;153.00
null;19603.00;215.00;null;100.37;215.00;null;100.26;58.00;null;null;37.54;285.00;55.4;0.5;296.33;2291.00;91.00;0.5;30.00;null;null;null;92.9;91.69;null;781.00;null;0.67;null;152.00
3478.5;19603.00;260.00;347.00;93.85;260.00;345.7;94.36;57.00;34.3;106.51;35.29;347.86;67.79;18019.00;360.53;3019.1;104.00;22037.00;63.52;39.49;null;null;87.9;86.75;null;779.8;null;0.67;null;152.00
3478.5;44876.00;248.14;342.00;94.36;248.00;335.4;94.18;60.00;38.5;106.48;40.52;448.2;79.32;16558.00;462.62;4002.5;122.7;22037.00;63.52;39.49;null;null;87.9;86.75;null;779.8;null;0.67;null;138.00
null;25903.00;200.00;null;102.14;200.00;null;102.23;66.00;null;null;48.37;479.1;80.9;0.7;492.6;4109.00;416.00;0.7;63.5;null;null;null;93.00;91.78;null;776.7;null;0.67;null;131.00
3640.5;12936.00;270.76;403.00;105.38;270.76;404.8;105.95;47.00;null;104.00;22.45;182.45;49.43;0.32;191.76;1239.4;80.00;0.3;63.3;42.86;50.8;51.2;102.4;101.06;null;784.00;null;0.68;null;212.00
3640.5;19603.00;244.45;396.6;108.49;244.45;397.3;108.12;59.00;null;107.07;36.27;383.72;93.85;0.45;401.39;2827.3;151.9;0.4;63.3;42.86;50.8;51.2;97.00;95.73;null;792.00;null;0.68;null;194.00
3640.5;44876.00;235.66;390.00;107.79;235.66;390.1;108.5;62.00;null;105.00;42.72;498.6;117.47;44866.00;520.72;3817.5;185.2;44835.00;63.3;42.86;50.8;51.2;103.7;102.34;null;792.00;null;0.68;null;187.00
3640.5;25903.00;227.86;384.4;110.17;227.86;381.3;110.19;64.00;null;104.9;47.99;612.21;139.53;0.65;638.48;4835.00;222.6;0.7;63.3;42.86;50.8;51.2;103.8;102.44;null;792.00;null;0.68;null;180.00
3667.00;34516.00;264.00;362.8;95.6;263.00;362.9;95.34;49.00;44860.00;105.54;26.44;243.22;61.33;13516.00;255.25;1924.9;101.5;10959.00;63.3;39.02;48.3;50.9;93.1;91.88;null;787.00;null;0.67;null;198.00
3667.00;19603.00;256.00;359.3;96.6;256.00;359.3;97.32;55.00;33.4;105.57;33.69;353.22;77.99;18323.00;366.86;2856.2;123.1;18323.00;63.3;39.02;48.3;50.9;92.8;91.59;null;787.00;null;0.67;null;174.00
3667.00;44876.00;249.27;354.00;98.95;249.00;354.00;40.74;60.00;39.2;105.56;39.67;451.48;98.2;32568.00;468.66;3766.5;154.00;32933.00;63.3;39.02;48.3;50.9;94.8;93.56;null;787.00;null;0.67;null;171.00
